,0
SE4643_J4816,1.000000000000005
SE4613_J4816,1.0000000000000038
SE4618_J4816,1.0000000000000029
SE4622_J4816,1.0000000000000029
SE4647_J4816,1.0000000000000027
SE4628_J4816,1.0000000000000027
SE4602_J4816,1.000000000000002
SE4636_J4816,1.000000000000002
SE4637_J4816,1.0000000000000018
SE4630_J4816,1.0000000000000018
SE4606_J4816,1.0000000000000018
SE4634_J4816,1.0000000000000016
SE4608_J4816,1.000000000000001
SE4645_J4816,1.000000000000001
SE4624_J4816,1.0000000000000009
SE4610_J4816,1.0000000000000007
SE4631_J4816,1.0000000000000007
SE4626_J4816,1.0000000000000004
SE4619_J4816,1.0000000000000004
SE4620_J4816,1.0000000000000004
SE4605_J4816,1.0000000000000004
SE4603_J4816,1.0000000000000004
SE4639_J4816,1.0000000000000002
SE4607_J4816,1.0000000000000002
SE4635_J4816,1.0000000000000002
SE4609_J4816,1.0
SE4648_J4816,0.9999999999999999
SE4646_J4816,0.9999999999999999
SE4623_J4816,0.9999999999999999
SE4611_J4816,0.9999999999999998
SE4627_J4816,0.9999999999999997
SE4612_J4816,0.9999999999999997
SE4638_J4816,0.9999999999999997
SE4641_J4816,0.9999999999999994
SE4642_J4816,0.9999999999999993
SE4617_J4816,0.9999999999999992
SE4632_J4816,0.9999999999999991
SE4629_J4816,0.9999999999999984
SE4616_J4816,0.9999999999999982
SE4615_J4816,0.9999999999999982
SE4644_J4816,0.9999999999999981
SE4625_J4816,0.9999999999999981
SE4640_J4816,0.999999999999998
SE4614_J4816,0.9999999999999974
SE4633_J4816,0.9999999999999971
SE4621_J4816,0.9999999999999971
SE4604_J4816,0.9999999999999967
