index,Unassigned;__,k__Fungi;__,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiobolomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Calcarisporiellomycota,k__Fungi;p__Chytridiomycota,k__Fungi;p__Entorrhizomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Mortierellomycota,k__Fungi;p__Mucoromycota,k__Fungi;p__Rozellomycota,k__Fungi;p__Zoopagomycota,k__Fungi;p__unidentified
SE4638_J4816,1730.0,38.0,0.0,4657.0,0.0,1155.0,0.0,0.0,11.0,0.0,60.0,30.0,105.0,30.0,40.0,0.0,9.0
SE4639_J4816,1133.0,61.0,0.0,3984.0,0.0,1385.0,0.0,0.0,5.0,0.0,4.0,19.0,184.0,46.0,319.0,0.0,237.0
SE4640_J4816,1176.0,24.0,0.0,4281.0,2.0,1436.0,0.0,0.0,11.0,0.0,7.0,18.0,265.0,65.0,155.0,0.0,16.0
SE4641_J4816,1206.0,36.0,0.0,4797.0,0.0,1834.0,0.0,0.0,23.0,0.0,47.0,73.0,144.0,68.0,36.0,0.0,23.0
SE4642_J4816,1781.0,98.0,0.0,4764.0,0.0,1568.0,0.0,0.0,12.0,0.0,24.0,16.0,149.0,32.0,51.0,0.0,15.0
SE4643_J4816,1551.0,29.0,0.0,8146.0,0.0,2474.0,0.0,0.0,19.0,0.0,31.0,40.0,320.0,99.0,120.0,0.0,48.0
SE4644_J4816,1344.0,33.0,0.0,7152.0,0.0,1213.0,0.0,0.0,6.0,8.0,88.0,117.0,137.0,27.0,45.0,2.0,60.0
SE4645_J4816,1256.0,16.0,0.0,5249.0,0.0,872.0,0.0,0.0,6.0,9.0,59.0,135.0,130.0,19.0,177.0,0.0,82.0
SE4646_J4816,1121.0,4.0,3.0,5851.0,0.0,975.0,7.0,0.0,50.0,0.0,101.0,86.0,171.0,47.0,41.0,0.0,24.0
SE4647_J4816,2755.0,7.0,0.0,6306.0,0.0,682.0,0.0,0.0,6.0,14.0,54.0,112.0,174.0,49.0,77.0,0.0,50.0
SE4648_J4816,642.0,2.0,4.0,6468.0,0.0,1499.0,0.0,0.0,31.0,0.0,72.0,70.0,394.0,83.0,99.0,0.0,45.0
