index,Unassigned;__;__,k__Fungi;__;__,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Ascomycota;__,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Ascomycota;c__unidentified,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Dacrymycetes,k__Fungi;p__Basidiomycota;c__GS25,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Basidiomycota;c__Tritirachiomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Blastocladiomycota;c__unidentified,k__Fungi;p__Calcarisporiellomycota;c__Calcarisporiellomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;c__Synchytriomycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Entorrhizomycota;c__Entorrhizomycetes,k__Fungi;p__Glomeromycota;__,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Glomeromycota;c__unidentified,k__Fungi;p__Kickxellomycota;__,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Kickxellomycota;c__unidentified,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Mucoromycota;c__Endogonomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes,k__Fungi;p__Rozellomycota;__,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Zoopagomycota;c__unidentified,k__Fungi;p__unidentified;c__unidentified
SE4635_J4816,2181.0,8.0,0.0,74.0,5.0,577.0,3094.0,0.0,0.0,82.0,141.0,18.0,42.0,3.0,7.0,3047.0,103.0,0.0,173.0,328.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,179.0,14.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,107.0,10.0,0.0,0.0,0.0,33.0,0.0,137.0,0.0,17.0,0.0,0.0,322.0,200.0,0.0,0.0,33.0
SE4636_J4816,1619.0,4.0,2.0,37.0,0.0,1279.0,2893.0,3.0,0.0,6.0,33.0,7.0,195.0,3.0,0.0,2794.0,131.0,0.0,1068.0,605.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,317.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,5.0,0.0,6.0,65.0,15.0,0.0,0.0,14.0,37.0,0.0,238.0,2.0,4.0,0.0,0.0,302.0,208.0,0.0,0.0,68.0
SE4637_J4816,2233.0,7.0,0.0,20.0,17.0,467.0,3582.0,0.0,0.0,168.0,702.0,28.0,0.0,19.0,14.0,2419.0,0.0,0.0,0.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,13.0,50.0,2.0,0.0,0.0,0.0,145.0,0.0,88.0,10.0,40.0,2.0,0.0,30.0,20.0,0.0,0.0,32.0
SE4638_J4816,1730.0,38.0,0.0,37.0,59.0,477.0,1302.0,0.0,0.0,15.0,1367.0,8.0,0.0,2.0,0.0,1390.0,0.0,0.0,0.0,503.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,8.0,0.0,45.0,0.0,7.0,0.0,20.0,10.0,0.0,105.0,0.0,30.0,0.0,0.0,21.0,19.0,0.0,0.0,9.0
SE4639_J4816,1133.0,61.0,0.0,54.0,9.0,269.0,951.0,0.0,0.0,0.0,566.0,69.0,0.0,0.0,0.0,2048.0,18.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,52.0,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,9.0,0.0,0.0,184.0,12.0,31.0,3.0,0.0,262.0,57.0,0.0,0.0,237.0
SE4640_J4816,1176.0,24.0,0.0,62.0,13.0,247.0,1464.0,50.0,0.0,0.0,782.0,0.0,11.0,2.0,12.0,1625.0,13.0,2.0,0.0,568.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,9.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,11.0,0.0,265.0,11.0,50.0,4.0,0.0,66.0,89.0,0.0,0.0,16.0
SE4641_J4816,1206.0,36.0,0.0,96.0,192.0,339.0,1227.0,0.0,0.0,0.0,949.0,9.0,2.0,14.0,0.0,1958.0,11.0,0.0,0.0,817.0,0.0,0.0,0.0,54.0,0.0,0.0,5.0,0.0,89.0,865.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,3.0,0.0,0.0,3.0,0.0,14.0,0.0,30.0,0.0,3.0,0.0,51.0,22.0,0.0,144.0,14.0,54.0,0.0,0.0,13.0,23.0,0.0,0.0,23.0
SE4642_J4816,1781.0,98.0,0.0,96.0,42.0,394.0,1717.0,0.0,0.0,0.0,753.0,24.0,0.0,11.0,0.0,1727.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,8.0,0.0,8.0,0.0,149.0,6.0,24.0,2.0,0.0,34.0,17.0,0.0,0.0,15.0
SE4643_J4816,1551.0,29.0,0.0,262.0,44.0,722.0,2565.0,3.0,0.0,4.0,1305.0,105.0,0.0,0.0,3.0,3109.0,24.0,0.0,2.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,136.0,1802.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,6.0,0.0,23.0,0.0,2.0,21.0,0.0,17.0,2.0,320.0,24.0,66.0,9.0,0.0,98.0,22.0,0.0,0.0,48.0
SE4644_J4816,1344.0,33.0,0.0,13.0,2.0,183.0,2811.0,0.0,0.0,71.0,230.0,87.0,210.0,0.0,25.0,3495.0,25.0,0.0,0.0,353.0,0.0,17.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,3.0,85.0,0.0,0.0,0.0,0.0,115.0,2.0,137.0,0.0,27.0,0.0,0.0,27.0,18.0,0.0,2.0,60.0
SE4645_J4816,1256.0,16.0,0.0,17.0,9.0,331.0,1851.0,193.0,0.0,6.0,578.0,76.0,0.0,0.0,34.0,2135.0,19.0,0.0,0.0,711.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,11.0,44.0,4.0,0.0,0.0,2.0,133.0,0.0,130.0,0.0,19.0,0.0,0.0,148.0,29.0,0.0,0.0,82.0
SE4646_J4816,1121.0,4.0,3.0,17.0,0.0,409.0,2489.0,0.0,0.0,8.0,57.0,104.0,10.0,6.0,6.0,2729.0,16.0,0.0,102.0,713.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,146.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,5.0,0.0,36.0,2.0,0.0,4.0,0.0,0.0,7.0,80.0,14.0,0.0,0.0,0.0,86.0,0.0,171.0,12.0,35.0,0.0,0.0,32.0,9.0,0.0,0.0,24.0
SE4647_J4816,2755.0,7.0,0.0,117.0,0.0,238.0,1998.0,0.0,0.0,4.0,397.0,29.0,0.0,0.0,2.0,3515.0,6.0,0.0,28.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,112.0,0.0,174.0,0.0,49.0,0.0,0.0,49.0,28.0,0.0,0.0,50.0
SE4648_J4816,642.0,2.0,4.0,3.0,0.0,577.0,1139.0,32.0,0.0,11.0,669.0,124.0,5.0,2.0,63.0,3818.0,25.0,0.0,58.0,1214.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,7.0,0.0,0.0,0.0,70.0,0.0,394.0,2.0,81.0,0.0,0.0,77.0,22.0,0.0,0.0,45.0
