index,Unassigned;__;__,k__Fungi;__;__,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Ascomycota;__,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Ascomycota;c__unidentified,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Dacrymycetes,k__Fungi;p__Basidiomycota;c__GS25,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Basidiomycota;c__Tritirachiomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Blastocladiomycota;c__unidentified,k__Fungi;p__Calcarisporiellomycota;c__Calcarisporiellomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;c__Synchytriomycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Entorrhizomycota;c__Entorrhizomycetes,k__Fungi;p__Glomeromycota;__,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Glomeromycota;c__unidentified,k__Fungi;p__Kickxellomycota;__,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Kickxellomycota;c__unidentified,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Mucoromycota;c__Endogonomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes,k__Fungi;p__Rozellomycota;__,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Zoopagomycota;c__unidentified,k__Fungi;p__unidentified;c__unidentified
SE4612_J4816,1503.0,36.0,0.0,154.0,0.0,445.0,1588.0,39.0,5.0,5.0,328.0,43.0,31.0,29.0,0.0,3618.0,80.0,0.0,0.0,747.0,0.0,42.0,0.0,0.0,0.0,0.0,5.0,10.0,106.0,776.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,0.0,0.0,0.0,12.0,12.0,0.0,352.0,0.0,17.0,0.0,0.0,63.0,76.0,0.0,0.0,15.0
SE4613_J4816,1474.0,20.0,2.0,82.0,0.0,363.0,691.0,48.0,0.0,0.0,988.0,25.0,3.0,0.0,6.0,3310.0,27.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,155.0,0.0,7.0,0.0,0.0,36.0,6.0,0.0,0.0,5.0
SE4614_J4816,1986.0,2.0,0.0,44.0,0.0,414.0,1255.0,0.0,0.0,36.0,147.0,24.0,0.0,6.0,4.0,2781.0,79.0,0.0,0.0,377.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,10.0,56.0,13.0,0.0,0.0,4.0,15.0,0.0,147.0,0.0,58.0,0.0,0.0,262.0,3.0,0.0,0.0,14.0
SE4615_J4816,1072.0,2.0,0.0,20.0,0.0,1059.0,1329.0,0.0,0.0,100.0,151.0,102.0,0.0,0.0,3.0,2908.0,34.0,0.0,0.0,384.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,15.0,0.0,0.0,0.0,18.0,0.0,0.0,22.0,0.0,0.0,0.0,3.0,41.0,0.0,192.0,0.0,7.0,0.0,0.0,263.0,23.0,0.0,0.0,53.0
SE4616_J4816,1878.0,10.0,0.0,67.0,0.0,238.0,2292.0,6.0,0.0,134.0,341.0,60.0,0.0,0.0,5.0,2562.0,5.0,0.0,7.0,737.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8.0,0.0,145.0,29.0,0.0,0.0,4.0,60.0,0.0,170.0,6.0,19.0,0.0,0.0,329.0,26.0,82.0,0.0,7.0
SE4617_J4816,1369.0,0.0,0.0,25.0,2.0,367.0,755.0,0.0,0.0,0.0,106.0,28.0,15.0,0.0,6.0,2801.0,7.0,0.0,5.0,484.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,158.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,170.0,7.0,134.0,0.0,40.0
SE4618_J4816,1586.0,3.0,0.0,73.0,0.0,324.0,2572.0,0.0,0.0,322.0,521.0,49.0,0.0,0.0,4.0,2582.0,3.0,0.0,411.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,10.0,0.0,0.0,60.0,7.0,0.0,0.0,0.0,18.0,4.0,140.0,0.0,42.0,4.0,0.0,200.0,34.0,0.0,0.0,23.0
SE4619_J4816,951.0,6.0,0.0,31.0,2.0,217.0,2987.0,60.0,0.0,27.0,381.0,58.0,2.0,0.0,116.0,3562.0,22.0,0.0,154.0,1438.0,0.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,515.0,0.0,0.0,2.0,0.0,2.0,7.0,21.0,0.0,0.0,16.0,5.0,0.0,0.0,35.0,0.0,0.0,115.0,9.0,0.0,0.0,0.0,144.0,0.0,295.0,0.0,67.0,0.0,0.0,4.0,69.0,0.0,0.0,75.0
SE4620_J4816,3922.0,118.0,0.0,32.0,0.0,173.0,1119.0,0.0,15.0,9.0,261.0,0.0,61.0,0.0,12.0,2830.0,190.0,0.0,0.0,350.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,26.0,285.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,0.0,0.0,7.0,29.0,0.0,214.0,0.0,155.0,0.0,0.0,1077.0,83.0,21.0,0.0,30.0
SE4621_J4816,1248.0,15.0,0.0,118.0,0.0,301.0,1369.0,0.0,7.0,3.0,619.0,0.0,31.0,0.0,43.0,3088.0,92.0,0.0,0.0,419.0,0.0,19.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,514.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,9.0,6.0,0.0,314.0,0.0,146.0,0.0,0.0,275.0,74.0,19.0,0.0,58.0
