Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
SE4634_J4816_S247_L001_R1_001	94.352432877276	51.0	297.52926653636456	36.36363636363637	9721.0	8.511684581273707	3.63	94.87461504619446	51.0	250.0	36.36363636363637	9092.0
SE4635_J4816_S248_L001_R1_001	95.09137958919618	53.0	296.0751253436843	36.36363636363637	12366.0	7.406161709451083	4.29	94.9965433805738	52.0	250.0	36.36363636363637	11572.0
SE4636_J4816_S249_L001_R1_001	95.62005670795403	52.0	300.38740486494555	36.36363636363637	13402.0	7.008641641241556	3.9	95.50167615186716	51.0	250.0	36.36363636363637	12827.0
SE4637_J4816_S250_L001_R1_001	95.87612822906941	52.0	300.5644257703081	36.36363636363637	12852.0	7.0518290329416065	4.0	95.473049991858	52.0	250.0	36.36363636363637	12282.0
SE4638_J4816_S251_L001_R1_001	95.31552018192154	53.0	299.90699260943717	36.36363636363637	8795.0	6.714327863643585	4.62	94.59620660861268	53.0	250.0	36.36363636363637	8383.0
SE4639_J4816_S252_L001_R1_001	94.58735886392736	52.0	300.6147130718193	36.36363636363637	8591.0	6.830866651940211	3.84	93.97283531409168	52.0	250.0	36.36363636363637	8246.0
SE4640_J4816_S253_L001_R1_001	94.95929118773947	51.0	299.6640325670498	36.36363636363637	8352.0	6.7925464213827045	4.74	93.94587791063562	51.0	250.0	36.36363636363637	7945.0
SE4641_J4816_S254_L001_R1_001	94.79553903345725	52.0	300.72425103870546	36.36363636363637	9146.0	6.782202911606514	3.53	93.62160935194643	52.0	250.0	36.36363636363637	8811.0
SE4642_J4816_S255_L001_R1_001	95.1188986232791	53.0	300.709324155194	36.36363636363637	9588.0	6.769340066341637	4.46	94.16329653514045	53.0	250.0	36.36363636363637	9149.0
SE4643_J4816_S256_L001_R1_001	95.61111488552211	52.0	300.2890141993342	36.36363636363637	14719.0	6.7604475632836625	4.92	95.08548537091352	52.0	250.0	36.36363636363637	13979.0
SE4644_J4816_S257_L001_R1_001	96.16633037985788	52.0	300.82217738398106	36.36363636363637	11399.0	6.779264490146207	4.9	95.02078521939954	52.0	250.0	36.36363636363637	10825.0
SE4645_J4816_S258_L001_R1_001	95.43512480323814	52.0	300.5612772655723	36.36363636363637	8894.0	6.7569240667074375	3.65	94.48598130841121	52.0	250.0	36.36363636363637	8560.0
SE4646_J4816_S259_L001_R1_001	95.51388313302942	52.0	300.6729175300456	36.36363636363637	9652.0	6.776002426364657	4.59	94.60693704468848	52.0	250.0	36.36363636363637	9197.0
SE4647_J4816_S260_L001_R1_001	95.73150033944331	54.0	300.7477087576375	36.36363636363637	11784.0	6.802419887369922	5.33	95.16027655562539	54.0	250.0	36.36363636363637	11137.0
SE4648_J4816_S261_L001_R1_001	95.80387048753256	52.0	300.6525865277261	36.36363636363637	10748.0	6.762121050276873	5.77	95.01779359430606	52.0	250.0	36.36363636363637	10116.0
