Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
SE4602_J4816_S215_L001_R1_001	90.52369077306733	53.0	294.364848747696	36.36363636363637	9223.0	12.47859514144242	4.73	93.75077341913129	53.0	250.0	36.36363636363637	8081.0
SE4603_J4816_S216_L001_R1_001	94.24388469582614	56.0	277.51895971628625	36.36363636363637	10997.0	9.312693815060486	4.34	94.76916560779331	56.0	250.0	36.36363636363637	9444.0
SE4604_J4816_S217_L001_R1_001	92.2565984967663	53.0	292.4441531200839	36.36363636363637	11442.0	10.74236938408283	4.72	93.6711356466877	54.0	250.0	36.36363636363637	10144.0
SE4605_J4816_S218_L001_R1_001	91.96031474512488	53.0	295.13752993499827	36.36363636363637	8769.0	10.131867843118767	4.31	93.23166120494076	53.0	250.0	36.36363636363637	7934.0
SE4606_J4816_S219_L001_R1_001	93.26953748006379	52.0	297.0166932482722	36.36363636363637	9405.0	9.162117060655566	4.6	93.69640787949015	53.0	250.0	36.36363636363637	8630.0
SE4607_J4816_S220_L001_R1_001	94.9216958259616	53.0	298.93643928969266	36.36363636363637	15261.0	7.670494333896697	4.88	95.1448160067161	53.0	250.0	36.36363636363637	14294.0
SE4608_J4816_S221_L001_R1_001	94.07646742057081	52.0	296.7943687975998	36.36363636363637	12999.0	8.647924159238233	4.74	95.33077180086869	53.0	250.0	36.36363636363637	11972.0
SE4609_J4816_S222_L001_R1_001	91.71775953444872	53.0	293.58121168034916	36.36363636363637	9623.0	11.697833088254555	4.4	93.97859578972127	53.0	250.0	36.36363636363637	8503.0
SE4610_J4816_S223_L001_R1_001	93.89095308044587	55.0	297.27598721161326	36.36363636363637	11573.0	8.8106804660311	4.2	95.10691941357736	56.0	250.0	36.36363636363637	10709.0
SE4611_J4816_S224_L001_R1_001	91.73833724263747	54.0	294.6656241855616	36.36363636363637	7674.0	10.302439205550517	4.54	94.19093147906707	54.0	250.0	36.36363636363637	6903.0
SE4612_J4816_S225_L001_R1_001	93.16922073687643	53.0	298.0598304532116	36.36363636363637	12268.0	8.816257398784465	5.55	94.02333659926961	53.0	250.0	36.36363636363637	11227.0
SE4613_J4816_S226_L001_R1_001	93.25472700233695	54.0	296.0371786700659	36.36363636363637	9414.0	9.576106758563748	3.8	94.76609541454377	54.0	250.0	36.36363636363637	8636.0
SE4614_J4816_S227_L001_R1_001	92.31335436382756	54.0	295.8977917981073	36.36363636363637	9510.0	10.275145049311613	5.49	94.08652715730074	54.0	250.0	36.36363636363637	8506.0
SE4615_J4816_S228_L001_R1_001	92.07291225095379	53.0	295.6376642645189	36.36363636363637	9436.0	10.282257413798112	4.24	93.71120740133505	53.0	250.0	36.36363636363637	8539.0
