TOC,TN,TP
7.6850000000000005,0.574,0.2155
6.625,0.5794999999999999,0.20750000000000002
7.115,0.5805,0.202
7.305,0.6194999999999999,0.226
7.115,0.5469999999999999,0.218
6.595,0.547,0.208
6.79,0.5935,0.21350000000000002
5.38,0.4615,0.2155
5.36,0.4585,0.227
7,0.6125,0.217
7.82,0.6555,0.2255
6.58,0.53,0.218
9.02,0.735,0.231
11.785,0.8465,0.22
7.195,0.6335,0.2905
5.734999999999999,0.47350000000000003,0.206
5.42,0.4685,0.2115
4.37,0.398,0.2075
6.59,0.608,0.222
5.555,0.508,0.195
6.165,0.5305,0.2135
