"","Rel_Saprobe_Abundance","Rel_Endomycorrhizae_Abundance","Rel_Ectomycorrhizae_Abundance","Rel_Plant_Pathogen_Abundance","Rel_Other_Abundance"
"Forest_1",65.5669490266013,0.0297220983801456,2.63040570664289,12.0671719423391,19.7057512260366
"Forest_2",71.5131830340084,1.50936186473061,2.33091325945739,7.94803209782193,16.6985097439817
"Forest_3",74.5452199716166,2.01264352986711,2.51580441233389,7.45710230937943,13.469229776803
"Forest_Edge_Interior_1",49.9246663796814,0.548859233749462,12.6775721050366,8.36203185535945,28.486870426173
"Forest_Edge_Interior_2",59.1627509611277,0.341734301580521,7.56087142246903,8.77118040723338,24.1634629075893
"Forest_Edge_Interior_3",60.3311258278146,0.97682119205298,2.6158940397351,15.364238410596,20.7119205298013
"Forest_Edge_Exterior_1",54.3109801031688,1.86072218128224,1.38172439204127,9.56153279292557,32.8850405305822
"Forest_Edge_Exterior_2",52.9216235129461,3.41147655703289,0.752274317704689,7.41777466759972,35.4968509447166
"Forest_Edge_Exterior_3",56.0259998194457,1.72429358129457,0.767355782251512,4.26108152026722,37.221269296741
"Pioneer_Near_1",65.1485698417106,0.819216884198834,2.30491530130519,14.7320188836434,16.9952790891419
"Pioneer_Near_2",44.7927461139896,9.11917098445596,1.39896373056995,14.6891191709845,30
"Pioneer_Near_3",61.745844784714,4.0308860096846,7.38123282292894,11.7523884308337,15.0896479518388
"Pioneer_Far_1",68.0342927127985,1.17370892018779,5.06225760359257,4.66421718718106,21.0655235762401
"Pioneer_Far_2",63.4867277153124,0.904138170858931,20.9458676248986,4.98435145473513,9.67891503419497
"Pioneer_Far_3",63.589628967367,2.38042020563254,16.551184622262,2.72686633884667,14.7518998658918
"Grass_Near_1",50.2750740584003,3.13161235717308,3.58301594018902,6.57356467766963,36.4367329665679
"Grass_Near_2",42.8611938182334,2.53792712320998,7.98241882886715,7.03246845314051,39.585991776549
"Grass_Near_3",55.850540806293,1.85594886922321,1.41347099311701,4.26499508357916,36.6150442477876
"Grass_Far_1",52.7939204291462,3.93383996423782,3.71032632990612,4.73848904783192,34.823424228878
"Grass_Far_2",56.5210433669387,2.56040966554649,7.13714194271083,8.11329812770043,25.6681068971035
"Grass_Far_3",46.8287526427061,1.47991543340381,12.7906976744186,5.82569884895466,33.0749354005168
