"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales",87,235,111,330,221,87,88,66
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces",173,0,49,0,0,0,988,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.1",315,72,132,108,104,64,343,68
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.1",876,0,0,0,0,0,327,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae",1105,0,73,0,0,0,7,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__unidentified.g__unidentified.s__unidentified",0,644,40,275,214,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.2",0,1054,0,0,117,0,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.g__Apiotrichum.1",52,306,39,82,285,166,218,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__unidentified.g__unidentified.s__unidentified",27,380,12,510,193,7,9,0
"k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Lecanorales.f__unidentified.g__unidentified.s__unidentified",0,528,0,87,273,231,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.4",489,0,239,0,0,0,386,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Tricholoma",0,0,1107,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavulinopsis.s__unidentified",0,404,0,0,692,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola",0,0,0,0,0,1081,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.1",0,0,0,0,0,781,0,300
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.1",262,59,273,0,67,130,262,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__Kickxellaceae.g__Ramicandelaber.s__unidentified",53,129,15,435,120,277,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.5",0,298,155,63,175,52,283,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Purpureocillium.1",0,0,314,135,0,253,283,19
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified",58,441,20,241,192,42,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales",29,112,15,66,705,8,40,6
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.6",0,160,265,19,242,0,259,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae",610,5,174,0,0,101,30,24
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.1",7,0,0,0,0,547,0,384
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.4",857,0,0,68,0,0,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.2",101,29,174,30,6,50,493,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified",0,191,0,96,596,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.1",0,0,0,3,0,872,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.2",569,0,303,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma",93,154,165,60,58,176,163,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.2",0,0,0,0,0,0,0,859
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.5",127,11,13,0,0,666,0,4
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys",149,136,59,139,0,13,109,213
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Ilyonectria",148,17,39,24,21,364,14,186
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae",22,167,59,79,322,0,162,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.3",0,43,0,0,0,10,0,754
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.3",0,0,0,0,0,805,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__unidentified.g__unidentified.s__unidentified",5,45,71,3,0,301,97,281
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.1",0,261,87,75,225,0,146,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales",0,3,778,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Phallales.f__Phallaceae.g__Phallus",182,84,357,0,0,0,137,5
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.g__Pseudeurotium",461,0,145,0,0,0,0,157
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.4",0,0,0,43,632,87,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.2",32,4,224,0,0,28,462,5
"k__Fungi.p__Basidiomycota",0,379,0,185,175,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.1",408,4,325,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.3",194,0,46,0,0,284,208,0
"k__Fungi.p__Basidiomycota.1",0,93,0,0,639,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.1",12,262,18,167,210,0,59,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae",0,0,0,726,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Monascus",96,94,169,20,138,18,181,0
"k__Fungi.p__Ascomycota",73,136,55,143,92,189,4,19
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.7",709,0,0,0,0,0,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.1",331,114,0,225,0,38,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.3",58,112,119,38,226,12,136,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae",0,52,6,34,248,267,64,26
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified",0,0,0,0,0,0,0,678
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Magnaporthaceae.g__Mycoleptodiscus",22,3,114,8,10,232,288,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae",0,185,0,254,237,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.g__Sporothrix",227,3,101,0,0,0,339,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.1",5,100,25,291,242,0,5,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.1",0,484,0,3,17,158,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.2",0,0,0,510,152,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.8",205,0,200,0,0,246,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.2",218,0,0,0,0,75,333,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Hygrophoraceae.g__Hygrocybe",0,0,0,0,0,0,0,626
"k__Fungi.p__Ascomycota.c__Sordariomycetes.1",138,5,29,5,4,381,0,46
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.4",61,0,119,0,0,372,37,9
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Hygrophoraceae.g__Hygrocybe.1",65,3,31,0,5,0,493,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.s__Penicillium_simplicissimum",232,42,148,18,72,67,0,15
