"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.1",87,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.2",0,0,25,0,0,0,0,62
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__unidentified.g__unidentified.s__unidentified.1",0,0,5,0,0,0,82,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.9",25,5,0,0,0,56,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__unidentified.g__unidentified.s__unidentified.3",30,0,45,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.10",0,0,78,0,0,0,8,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Sporormiaceae.g__Westerdykella",0,5,5,26,37,5,8,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.15",0,6,0,11,11,0,58,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.23",0,86,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.g__Pseudeurotium.2",0,0,0,0,0,0,0,86
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariales_fam_Incertae_sedis.g__Conlarium.s__unidentified.1",15,0,0,32,0,23,2,13
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__unidentified.s__unidentified.3",0,0,0,0,0,85,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.7",0,0,0,0,0,0,0,85
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.9",0,0,0,85,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.5",6,9,31,0,30,0,8,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,0,0,84
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.11",0,0,0,0,0,0,0,84
"k__Fungi.p__Ascomycota.c__Sordariomycetes.15",39,0,25,0,0,0,19,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.24",36,7,7,0,0,0,33,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.1",0,0,26,0,0,47,10,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.11",0,0,83,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Hyaloscypha",0,0,0,0,0,0,83,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.15",0,0,0,0,0,0,0,83
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__unidentified.g__unidentified.s__unidentified.2",23,0,59,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.g__Roussoella",12,70,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.7",49,0,28,0,0,0,0,5
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.1",79,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.7",24,0,9,0,0,0,49,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.10",82,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.12",0,23,7,0,52,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.2",0,0,0,0,0,82,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.11",81,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Exophiala.3",33,15,6,0,0,14,11,2
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae",0,12,0,29,40,0,0,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Gongronella.1",0,14,0,46,21,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.16",0,12,0,2,51,6,10,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.24",0,22,0,29,30,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.13",0,0,0,0,0,0,81,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.2",0,0,0,0,0,31,0,50
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.5",11,5,18,0,8,0,38,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.3",38,0,42,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.16",0,3,0,9,0,68,0,0
"k__Fungi.2",0,0,0,0,0,0,0,80
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.13",0,0,0,80,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__Podospora",2,15,0,26,36,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.18",0,0,55,0,0,0,24,0
"k__Fungi.3",5,0,9,0,0,57,7,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.15",78,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Chaetomium.1",0,78,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.17",0,0,0,0,74,0,4,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.25",0,0,0,0,78,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.14",0,0,0,78,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariales_fam_Incertae_sedis.g__Conlarium",18,0,5,0,0,25,0,29
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.14",18,0,16,0,0,0,43,0
"k__Fungi.p__Ascomycota.c__Geoglossomycetes.o__Geoglossales.f__unidentified.g__unidentified.s__unidentified",0,0,77,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Periconiaceae.g__Periconia.1",0,12,0,0,65,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.19",0,77,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.16",0,15,0,0,56,6,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.25",0,0,0,0,0,77,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.26",0,0,0,0,4,73,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.17",0,0,0,0,0,0,0,77
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Phallales.f__Phallaceae.g__Mutinus",0,0,0,0,0,0,0,77
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.14",61,0,12,0,0,0,0,3
"k__Fungi.p__Chytridiomycota.c__Rhizophydiomycetes.o__Rhizophydiales.f__Terramycetaceae",35,2,21,0,0,12,0,6
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.8",33,0,43,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.g__Apiotrichum.2",14,0,0,0,0,20,27,15
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.6",7,0,12,0,0,57,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariales_fam_Incertae_sedis.g__Conlarium.1",0,38,0,31,7,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.s__unidentified.3",75,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.11",0,9,30,0,0,13,23,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.4",0,0,22,0,0,0,53,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.12",0,0,0,0,7,0,68,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.4",0,0,0,0,75,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.27",0,0,0,0,0,0,0,75
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.f__unidentified.g__unidentified.s__unidentified.4",0,0,74,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.18",0,74,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.28",0,8,0,66,0,0,0,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__unidentified.g__unidentified.s__unidentified",0,8,0,0,50,0,16,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.15",0,0,0,0,0,51,0,23
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.9",0,0,0,0,0,74,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.4",0,0,0,0,0,0,0,74
"k__Fungi.p__Ascomycota.4",5,0,0,0,7,4,57,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.12",0,0,73,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.2",0,0,0,0,0,73,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.6",0,0,0,0,0,73,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Acremonium",0,0,0,0,73,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.26",0,0,0,41,32,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.15",0,28,0,0,0,0,44,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Exophiala.4",0,0,0,26,46,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Phallales.f__Phallaceae",0,0,0,0,0,0,0,72
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.6",30,14,5,7,7,0,8,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.2",47,0,16,0,0,0,8,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.13",71,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys.3",0,49,0,14,8,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.12",0,33,0,6,32,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.29",0,0,0,0,0,6,0,65
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.f__unidentified.g__unidentified.s__unidentified",0,0,0,0,71,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.15",0,0,0,0,71,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.10",0,0,0,0,71,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__unidentified.g__unidentified.s__unidentified.4",11,35,9,6,0,0,9,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Dictyosporiaceae",6,0,3,0,3,0,58,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.11",70,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.7",0,41,0,21,8,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.16",0,0,0,60,10,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Diaporthaceae.g__Diaporthe",2,0,14,0,0,0,53,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Geastrales.f__Sclerogastraceae.g__Sclerogaster.s__unidentified.1",69,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.19",42,22,0,0,0,0,0,5
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.20",12,14,0,0,38,0,5,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Agaricus.1",0,0,44,0,0,25,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys.4",0,0,0,0,62,0,7,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__unidentified.g__unidentified.s__unidentified.3",0,0,0,0,0,69,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Galerina",0,0,0,0,0,0,0,69
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.16",41,0,16,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__unidentified.g__unidentified.s__unidentified",68,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.3",0,0,68,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.9",0,21,0,0,0,0,42,5
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.10",0,0,0,0,0,0,68,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.14",0,0,0,0,0,0,68,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.g__Pseudeurotium.3",0,0,0,0,0,0,0,68
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.3",15,0,36,7,0,9,0,0
"k__Fungi.4",39,0,26,0,0,0,0,2
"k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Kazachstania",0,4,19,22,22,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.11",0,0,28,4,0,0,0,35
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae.g__Clitopilus.s__unidentified.1",0,15,42,0,0,0,10,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.4",0,0,0,0,0,0,67,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.s__Metarhizium_anisopliae.6",0,0,0,0,67,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.13",16,0,10,0,0,40,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.4",16,0,18,7,0,25,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Lepiota",43,0,19,0,0,0,4,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Bolbitiaceae.g__Conocybe",66,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.g__Pseudeurotium.4",33,0,0,0,0,0,0,33
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.30",0,66,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Chalara.s__unidentified",0,0,0,0,0,64,0,2
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.3",0,0,0,0,30,36,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.12",59,0,6,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.13",17,0,6,0,0,0,42,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales",14,0,18,0,0,0,33,0
"k__Fungi.p__Ascomycota.5",0,0,0,0,0,52,5,8
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Psathyrellaceae.g__Coprinellus.1",0,0,0,0,0,0,0,65
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.8",0,0,0,65,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.6",33,0,0,0,0,0,0,31
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae",6,13,39,0,0,0,6,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Gymnoascaceae",36,5,10,0,0,5,0,8
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Stachybotryaceae.2",40,5,7,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.20",43,0,0,0,0,0,0,21
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.21",64,0,0,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS06.f__unidentified.g__unidentified.s__unidentified",64,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.6",0,0,64,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiaceae.g__Scytalidium.s__unidentified",0,0,52,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Periconiaceae.g__Periconia.2",0,64,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae.g__Beauveria.1",0,3,0,0,61,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.1",0,0,0,0,0,0,64,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.16",0,0,0,0,0,0,64,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Omphalotaceae.g__Gymnopus",0,0,0,0,0,64,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Agaricus.2",58,0,0,0,0,5,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys.5",6,4,5,0,17,0,31,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.18",18,0,45,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.9",5,0,7,0,0,4,47,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__Glomus",0,6,0,8,32,0,17,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae",0,0,0,0,43,0,20,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Minutisphaerales.f__Minutisphaeraceae.g__Minutisphaera.1",0,0,0,0,0,63,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.27",0,0,0,0,0,63,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,63,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.7",0,0,0,0,0,0,0,63
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.5",0,0,0,0,0,0,0,63
"k__Fungi.p__Ascomycota.c__Sordariomycetes.19",7,0,0,0,0,55,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__unidentified.g__unidentified.s__unidentified.2",45,0,17,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariales_fam_Incertae_sedis.g__Conlarium.2",11,30,6,9,6,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.14",62,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.3",0,56,6,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.13",0,62,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.2",0,12,0,18,32,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariales_fam_Incertae_sedis.g__Castanediella",0,0,0,0,0,0,62,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.3",0,0,0,0,0,62,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.14",0,0,0,0,0,62,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.17",0,0,0,0,62,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.7",0,0,0,0,0,0,0,62
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.6",36,10,0,9,0,6,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.16",19,0,0,0,0,0,0,42
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.22",0,16,11,32,2,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Sporocadaceae.1",0,0,6,0,0,35,0,20
"k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified",0,15,10,4,18,8,6,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.17",0,0,0,0,0,0,61,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.7",0,0,0,0,61,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.23",0,0,0,18,43,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.10",0,0,0,0,0,0,0,61
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.10",0,0,0,0,0,0,0,61
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.8",26,19,0,0,0,0,0,15
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__unidentified.g__unidentified.s__unidentified.2",60,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__unidentified.g__unidentified.s__unidentified.5",0,0,19,0,8,23,10,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Sporormiaceae.1",0,0,27,0,0,0,33,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.20",0,20,3,10,13,11,3,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.10",0,0,17,12,0,0,0,31
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Mucoraceae.g__Mucor",0,12,0,33,15,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.12",0,17,0,19,24,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.s__unidentified.4",0,0,0,0,0,60,0,0
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.f__unidentified.g__unidentified.s__unidentified.5",0,0,0,0,0,0,0,60
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys.6",0,0,0,60,0,0,0,0
"k__Fungi.p__Ascomycota.7",17,0,40,0,0,0,0,2
"k__Fungi.p__Zoopagomycota.c__Zoopagomycetes.o__Zoopagales.f__unidentified.g__unidentified.s__unidentified.1",0,59,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.15",0,0,0,0,0,0,59,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Boliniales",0,0,0,0,59,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.1",0,0,0,0,0,0,0,59
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.28",58,0,0,0,0,0,0,0
