Feature ID	Taxon	Consensus
d2327915c6d74bcaeebeb213fb8f2ad9	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.9
60095732b53555823e516481f22e8ca2	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium_anisopliae	0.6
34a353627728280585c73f9b31ddf6ba	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.9
c5c50803871b2ede6a73330f72ba0646	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.8
67f0780605e349991b48438590a399a1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces	0.8
c1df9a7d8546e7b1edc70750c8ec9bb3	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.7
29b9ff408c85e7c6595597e284cdf1a9	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces	0.8
2c426dcfc66fe703a65bf9985524269b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae	0.6
bf8149b6ee54968c4042efe5e43c5516	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__unidentified;g__unidentified;s__unidentified	0.6
892278ebf4935f335467863a2ae93830	k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.9
b9be034ed1acc9f9fce9814b92ed62f2	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	0.7
8ddb232d514167e4610019bcf31b0319	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__unidentified	0.9
139c18e30c485cfa1ddb94b8b4f07418	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__unidentified;g__unidentified;s__unidentified	1.0
a829ad17b3dd194b0766b403dcebade7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.7
76c6a3d7d41a8dec735d2cd8544012c3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma	0.8
f7ce2fb1433fa9fbb08fda2ff70fe6d6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__unidentified	0.6
74e3e1f2f2035f2d98acbae7201791c1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola	0.8
16839008335b780030a82977fa4f8762	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola	0.8
f5e654eafb9bf40413f401a079fb21c4	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	1.0
84426661e61cc2af6b674affba90a5cb	k__Fungi;p__Kickxellomycota;c__Kickxellomycetes;o__Kickxellales;f__Kickxellaceae;g__Ramicandelaber;s__unidentified	0.7
d9d558defa2d4c1385c44a104d158671	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.7
82a2f1859bb0745e78fa27beeff224d7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium	0.6
1e5e7fbd684d94297c3c1a03964ae5ac	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	1.0
bad99be35f6e7396365a4896b72fead0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.7
9b299dc3ccc4dfb34979932f4677d80c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.7
7ba523e625dd8d720de177f3416bb3f2	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae	0.9
e03cf6e59e823cb8f79bd9dac00cef7e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae	0.8
79b9b56ed6ebe776b16fc7dd45e38374	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.8
df82ea98969764e9d9f0a4d8fa0cf2b8	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.7
cb8e5564678b7a20e334afbeff765b20	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.5555555555555556
b2a5231ba6856ba0af07a9de3d35ad48	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron	0.8
bb04be5c3a2e386d501fadc9ae49ad19	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae	0.9
603942df96bbd57c91b42ede29402d52	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	0.9
d7fc7f806c02c79a651eef96df410692	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified	0.6
d7b0ef9746552c60e0cdcede18fa1e3d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.8
aead3e93ecbe025463727650f6ec9960	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys	0.6
87f5a790064d184e3b7fe523a8b9e9ae	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria	0.8
a1a9faff37c36aa8fdc36654c1476949	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.8
c4c2f8f7e3256432441de533d66ef422	k__Fungi;p__Ascomycota;c__Eurotiomycetes	1.0
dde135f644fe53989aa94f66ae603ba6	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__unidentified	0.7
322339e926a299469e7c6f38249239ec	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__unidentified	0.5714285714285714
56b20ae7a437e9e046b2461606dec706	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.625
f99cce1279a29cf0f25c65ee58fd5f50	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.5714285714285714
b91c7b40deb0b8730849b512d613b2f7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales;f__Phallaceae;g__Phallus	0.7
0035ff9bef2527444c295c1d6b047af8	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium	0.8
a49f5d717bc33ca4fb63dff454b64063	k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.9
5d0078fa4ae127c9070c6875634e0fe4	k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__unidentified;g__unidentified;s__unidentified	0.7
4dcc952ef364cb6db0eb8d6b47c6b0a3	k__Fungi;p__Basidiomycota	0.8333333333333334
73eae5a9df5346153e1b714b2ed15f38	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.6
6395bb5b2f2a139f5d5d6d4fb37424b2	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	1.0
c2a0f6461f194ba016edeeef8b06a6c2	k__Fungi;p__Basidiomycota	0.8
a62e082cdeddc76dabf773d69173deca	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae	0.8
9a84923c5370061b8f90ba41729be767	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae	0.6
9fcdd82f0b0817101554f3228200bc15	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Monascus	0.5555555555555556
85ed4b463c4060720ed5576b85f17bf7	k__Fungi;p__Ascomycota	0.75
227b1f5cc25844c9ad2845822f89839a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	1.0
6a2c5643dae32df14b2c811a4a56ca45	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__unidentified	0.6
01f4d6c25cee0f5e6dab92f0b049c1fa	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.8
2a7987952648aa6cb9de61465f01b92b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae	1.0
7e8ccbef447b9687e8f8a2dc7d3208e8	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.7
e2dfbad2f759271aa8ea48d58696a9ee	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Mycoleptodiscus	0.7
0d29bf5759f16e920fc45e4440139da4	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae	0.7
af37e9e1717dfc3d3bbc798a7a702c7e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae;g__Sporothrix	0.8
fd5fa6d1ce63a560f7a3b9a9e451311f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.875
896bd094a0e171f1ddc265c11d1b7143	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.8
55c661b9187d3887f6561d65863ba97f	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.9
fe4240cbd4c9ae0db7db808dc3ffe806	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	1.0
cd746b897849fd9e8350be40afdee992	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces	0.7
0f4026822425a926018398ffcc8a274f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe	1.0
dc795ecd8ade706fe136c5c23b5d8c7a	k__Fungi;p__Ascomycota;c__Sordariomycetes	0.8888888888888888
ba700402073fe8ef84b71f86a9fd3544	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	1.0
4d4407908d19b704db59c9909c85730c	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe	0.9
e804eed474158920cfa4788200110995	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_simplicissimum	0.6
a717f816e733be3f7e89e12215031d48	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae	0.6
dafc83d83bcb53634c613ea13ed30b7e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Spegazzinia	0.6
bd4be102d98ed9b95123289b73583df8	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae	1.0
7ce40005951242aae90f52fe161f8713	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.7
7f01644d3da15155fcab88cfe745c565	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	1.0
4aa2d00caa7a08e49405037e16119371	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__unidentified;s__unidentified	0.9
fb20fa20e9effd3a74824cba10a6c719	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces	0.7
cfd4753f149f05b9dc3f224bbb3eb19c	k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__unidentified;g__unidentified;s__unidentified	0.9
049cb131482f9de8a7a6392d6d2d418f	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	1.0
085dde6bf9d5a947f174c9b9418216ee	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae	1.0
ed45141006de38ea60d93d96dc06750e	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae	1.0
2757650527c27853c512d24681a540b1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.6666666666666666
760ea7240dac92dc1f3749844387c250	k__Fungi;p__Basidiomycota	0.8
9ac20a05b7fd700bed8e0a54f99ee5d5	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys	0.7
